description,category,unit,qty_on_hand,unit_cost,total_cost,item_number,model_number,item_class,asset_recommended
AmGood Stainless Steel Dual Foot Pedal Valve Control for Faucet,Plumbing / Commercial Faucet Controls,EA,8,88.95,711.60,,,Inventory,No
Dexter AccuFlush Urinal Top Spud,Plumbing / Urinals,EA,3,164.32,492.96,,,Inventory,No
KOHLER 4636-RL-7 Cachet ReadyLatch Elongated Toilet Seat Black,Plumbing / Toilet Seats,EA,10,71.80,718.00,,4636-RL-7,Inventory,No
AUPREX 24 Inch Heavy Duty Carbon Steel Pipe Wrench,Hand Tools / Pipe Wrenches,EA,2,18.99,37.99,,,Asset,Yes
Extra Thick Toilet Wax Ring Kit with Flange and Bolts,Plumbing / Toilet Installation Kits,EA,5,7.18,35.90,,,Inventory,No
Fox Valley 12 Inch Easy Marker Pistol,Surveying / Marking Tools,EA,3,12.98,38.95,,,Asset,Yes
Fox Valley 18oz Marks All Green Fluorescent Marking Paint 12-Pack,Paint / Marking Paint,CASE,1,123.95,123.95,,,Inventory,No
Fox Valley 18oz Marks All Pink Fluorescent Marking Paint 12-Pack,Paint / Marking Paint,CASE,1,123.95,123.95,,,Inventory,No
Green Paint Markers 12 Pack Oil-Based Waterproof Quick Dry Permanent Paint Pen Set,Marking Tools / Paint Markers,PACK,2,7.22,14.43,,,Inventory,No
Pink Paint Markers 12 Pack Oil-Based Waterproof Quick Dry Permanent Paint Pen Set,Marking Tools / Paint Markers,PACK,2,7.22,14.43,,,Inventory,No
TEKTON 1-3/16 Inch Combination Wrench,Hand Tools / Wrenches,EA,2,11.50,23.00,,18269,Asset,Yes
SUNEX TOOLS 542D 1 Inch Drive Deep 6 Point Impact Socket 1-5/16 Inch,Hand Tools / Impact Sockets,EA,1,26.99,26.99,,542D,Asset,Yes
Sunex 1-7/16 Inch 1D IMP 6PT Deep Impact Socket,Hand Tools / Impact Sockets,EA,1,53.98,53.98,,,Asset,Yes
Sunex 538D 1 Inch Drive Deep 6 Point Impact Socket 1-3/16 Inch,Hand Tools / Impact Sockets,EA,1,40.56,40.56,,538D,Asset,Yes
TEKTON 1-7/16 Inch Combination Wrench,Hand Tools / Wrenches,EA,2,21.97,43.94,,WCB23036,Asset,Yes
TEKTON 1-9/16 Inch Combination Wrench,Hand Tools / Wrenches,EA,2,31.00,62.00,,WCB23040,Asset,Yes
TEKTON 1-3/8 Inch Combination Wrench,Hand Tools / Wrenches,EA,2,17.11,34.21,,WCB23035,Asset,Yes
JET 3/4-Ton Lever Hoist 15 ft Lift,Rigging / Lever Hoists,EA,2,126.00,252.00,,JLP-075A-15,Asset,Yes
Strong Hand Tools PG114V Pipe Pliers with Large V-Pads 11 Inch,Welding Tools / Pipe Clamps & Pliers,EA,4,7.95,31.82,,PG114V,Asset,Yes
Stainless Steel Utility Sink 25 Inch Single Bowl Black,Plumbing / Utility Sinks,EA,2,209.99,419.98,,,Inventory,No
DEWALT Angle Grinder 4-1/2 Inch 11 Amp DWE402W,Power Tools / Grinders,EA,10,118.00,1180.00,,DWE402W,Asset,Yes
Metabo 6 Inch Angle Grinder W13-150 Quick 603633420,Power Tools / Grinders,EA,4,189.00,756.00,,603633420,Asset,Yes
BHA Metal and Stainless Steel Thin Cut Off Wheels 6 x .045 x 7/8 25 Pack,Abrasives / Cut-Off Wheels,PACK,20,32.26,645.20,,,Inventory,No
SEABEFORE Brass Round Bottle P-Trap Matte Black,Plumbing / Decorative P-Traps,EA,1,35.99,35.99,,,Inventory,No
EPSON 812 DURABrite Ultra Black Cartridge T812XXL120-S,Office Supplies / Printer Ink,EA,2,40.00,79.99,,T812XXL120-S,Inventory,No
Mr Clean All Purpose Cleaner Lavender 41oz,Janitorial / Cleaning Supplies,EA,6,0.99,5.94,,,Inventory,No
Drill America 3/16-60 High Speed Steel 6 Flute Chatterless Countersink,Cutting Tools / Countersinks,EA,1,12.31,12.31,,DEWCHAT3/16-60,Asset,Yes
Drill America 3/16-90 High Speed Steel 6 Flute Chatterless Countersink,Cutting Tools / Countersinks,EA,1,12.29,12.29,,,Asset,Yes
Drill America 5/16-82 High Speed Steel 6 Flute Chatterless Countersink,Cutting Tools / Countersinks,EA,1,12.67,12.67,,DEWCHAT5/16-82,Asset,Yes
Drill America 3/16-82 High Speed Steel 6 Flute Chatterless Countersink,Cutting Tools / Countersinks,EA,1,8.45,8.45,,DEWCHAT3/16-82,Asset,Yes
Drill America 1/4-120 High Speed Steel 6 Flute Chatterless Countersink,Cutting Tools / Countersinks,EA,1,13.72,13.72,,DEWCHAT1/4-120,Asset,Yes
BHA Surface Conditioning Quick Change Discs 2 Inch Blue Fine 25 Pack,Abrasives / Surface Conditioning Discs,PACK,2,12.74,25.48,,,Inventory,No
G1/2 Thread Stainless Steel Foot Pedal Faucet Wall Mounted,Plumbing / Commercial Faucet Controls,EA,2,19.83,39.66,,,Inventory,No
